58559	Dark Knight, The (2008)	2008	4.220129171151776
79132	Inception (2010)	2010	4.156172003137702
92259	Intouchables (2011)	2011	4.132395909422937
66934	Dr. Horrible's Sing-Along Blog (2008)	2008	4.068371943371943
71033	Secret in Their Eyes, The (El secreto de sus ojos) (2009)	2009	4.0465994962216625
60069	WALL·E (2008)	2008	4.038929040735874
68954	Up (2009)	2009	4.038266407599309
99114	Django Unchained (2012)	2012	4.0378927911275415
109487	Interstellar (2014)	2014	4.023864289821737
81845	King's Speech, The (2010)	2010	4.022206430982412
68237	Moon (2009)	2009	4.021060201356072
68157	Inglourious Basterds (2009)	2009	4.019635863237006
78499	Toy Story 3 (2010)	2010	4.012973533990659
61240	Let the Right One In (Låt den rätte komma in) (2008)	2008	4.010526315789473
80906	Inside Job (2010)	2010	4.005541346973572
76093	How to Train Your Dragon (2010)	2010	4.000420079815165
91529	Dark Knight Rises, The (2012)	2012	4.00020964360587
71899	Mary and Max (2009)	2009	3.995127436281859
55820	No Country for Old Men (2007)	2007	3.994389149102264
109374	Grand Budapest Hotel, The (2014)	2014	3.992152466367713
64614	Gran Torino (2008)	2008	3.979307101426556
94959	Moonrise Kingdom (2012)	2012	3.9792387543252596
65514	Ip Man (2008)	2008	3.9734473447344736
54286	Bourne Ultimatum, The (2007)	2007	3.973096869790702
55442	Persepolis (2007)	2007	3.971987550022232
55247	Into the Wild (2007)	2007	3.965520728008089
68358	Star Trek (2009)	2009	3.9644343302990896
58303	Counterfeiters, The (Die Fälscher) (2007)	2007	3.9597156398104265
77455	Exit Through the Gift Shop (2010)	2010	3.9594594594594597
73344	Prophet, A (Un Prophète) (2009)	2009	3.952912621359223
88125	Harry Potter and the Deathly Hallows: Part 2 (2011)	2011	3.9506653276424806
63082	Slumdog Millionaire (2008)	2008	3.950477845351868
89745	Avengers, The (2012)	2012	3.9494857834240773
56782	There Will Be Blood (2007)	2007	3.94563347983948
112556	Gone Girl (2014)	2014	3.9364435429344153
55908	Man from Earth, The (2007)	2007	3.9343232438606512
55814	Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007)	2007	3.934090909090909
61236	Waltz with Bashir (Vals im Bashir) (2008)	2008	3.9284304047384007
88810	Help, The (2011)	2011	3.9166666666666665
59315	Iron Man (2008)	2008	3.913052578700603
67255	Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)	2009	3.9115778326861985
96821	Perks of Being a Wallflower, The (2012)	2012	3.9102836879432625
74458	Shutter Island (2010)	2010	3.904468802698145
106920	Her (2013)	2013	3.9019444444444447
97304	Argo (2012)	2012	3.901742301458671
105844	12 Years a Slave (2013)	2013	3.8971563981042654
106100	Dallas Buyers Club (2013)	2013	3.896078431372549
57669	In Bruges (2008)	2008	3.8918836452400325
50872	Ratatouille (2007)	2007	3.883866162484244
60766	Man on Wire (2008)	2008	3.8818615751789975
81834	Harry Potter and the Deathly Hallows: Part 1 (2010)	2010	3.879119464469619
81591	Black Swan (2010)	2010	3.8780026480045393
64839	Wrestler, The (2008)	2008	3.877617148554337
81932	Fighter, The (2010)	2010	3.8769621421975993
89492	Moneyball (2011)	2011	3.8763097949886105
70286	District 9 (2009)	2009	3.872480716596168
79357	Mr. Nobody (2009)	2009	3.872113676731794
63876	Milk (2008)	2008	3.8710363495746325
91658	Girl with the Dragon Tattoo, The (2011)	2011	3.8705658783783785
82459	True Grit (2010)	2010	3.870088901634643
51255	Hot Fuzz (2007)	2007	3.866105235670453
72641	Blind Side, The  (2009)	2009	3.8657560056523788
72226	Fantastic Mr. Fox (2009)	2009	3.862850971922246
89864	50/50 (2011)	2011	3.8558174523570714
112852	Guardians of the Galaxy (2014)	2014	3.854807223035627
64034	Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008)	2008	3.8546626984126986
54259	Stardust (2007)	2007	3.8517441860465116
97921	Silver Linings Playbook (2012)	2012	3.8513261982317357
56367	Juno (2007)	2007	3.851002999625047
71535	Zombieland (2009)	2009	3.849880272610057
59369	Taken (2008)	2008	3.845317895592119
88129	Drive (2011)	2011	3.8449931412894376
111759	Edge of Tomorrow (2014)	2014	3.8436374549819927
80463	Social Network, The (2010)	2010	3.843275075987842
81847	Tangled (2010)	2010	3.8412633305988515
105504	Captain Phillips (2013)	2013	3.8404825737265416
55118	Eastern Promises (2007)	2007	3.832196029776675
